股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh600297,广汇汽车,2016-01-04,12.77,12.98,11.56,11.56,12.84,6200226.0,75004499.0
sh600297,广汇汽车,2016-01-05,10.8,11.28,10.53,10.94,11.56,10729782.0,117249614.0
sh600297,广汇汽车,2016-01-06,11.0,11.2,10.94,11.2,10.94,6353495.0,70439471.0
sh600297,广汇汽车,2016-01-07,11.2,11.24,10.08,10.08,11.2,1934050.0,20486292.0
sh600297,广汇汽车,2016-01-08,10.45,10.45,9.21,10.03,10.08,8086873.0,81328833.0
sh600297,广汇汽车,2016-01-11,10.03,10.34,9.51,9.64,10.03,7571938.0,75729649.0
sh600297,广汇汽车,2016-01-12,9.85,9.98,9.31,9.8,9.64,6008542.0,58547100.0
sh600297,广汇汽车,2016-01-13,9.91,10.09,9.63,9.65,9.8,6172542.0,60913307.0
sh600297,广汇汽车,2016-01-14,9.57,10.62,9.38,10.62,9.65,24724518.0,253804010.0
sh600297,广汇汽车,2016-01-15,10.82,11.67,10.68,11.28,10.62,29448686.0,332106801.0
sh600297,广汇汽车,2016-01-18,11.21,12.15,10.72,12.1,11.28,28828111.0,335372472.0
sh600297,广汇汽车,2016-01-19,11.85,12.5,11.75,12.17,12.1,22997038.0,280085516.0
sh600297,广汇汽车,2016-01-20,11.93,12.48,11.8,12.08,12.17,15227235.0,184535433.0
sh600297,广汇汽车,2016-01-21,11.91,12.86,11.89,12.51,12.08,21765746.0,269420896.0
sh600297,广汇汽车,2016-01-22,12.49,12.8,11.83,12.37,12.51,14241753.0,175709849.0
sh600297,广汇汽车,2016-01-25,12.51,13.0,12.1,12.96,12.37,16831747.0,211748975.0
sh600297,广汇汽车,2016-01-26,12.76,12.8,12.02,12.31,12.96,16060586.0,198852016.0
sh600297,广汇汽车,2016-01-27,12.12,12.57,11.09,12.52,12.31,16081511.0,191612942.0
sh600297,广汇汽车,2016-01-28,12.22,13.0,12.12,12.54,12.52,13590608.0,171544445.0
sh600297,广汇汽车,2016-01-29,12.3,13.48,11.8,13.05,12.54,18174851.0,232171268.0
sh600297,广汇汽车,2016-02-01,13.0,13.12,12.44,12.55,13.05,9885019.0,126692088.0
sh600297,广汇汽车,2016-02-02,12.46,12.89,12.46,12.59,12.55,7008715.0,88490885.0
sh600297,广汇汽车,2016-02-03,12.35,12.66,11.7,12.62,12.59,13087127.0,158591240.0
sh600297,广汇汽车,2016-02-04,12.6,12.82,12.41,12.5,12.62,9023520.0,113291383.0
sh600297,广汇汽车,2016-02-05,12.52,12.65,11.98,12.01,12.5,4600372.0,56320185.0
sh600297,广汇汽车,2016-02-15,11.51,12.14,11.36,12.01,12.01,5953849.0,70377239.0
sh600297,广汇汽车,2016-02-16,12.03,12.46,12.03,12.36,12.01,6654162.0,82185947.0
sh600297,广汇汽车,2016-02-17,12.39,12.78,12.3,12.59,12.36,6486646.0,81535796.0
sh600297,广汇汽车,2016-02-18,12.57,13.14,12.41,13.09,12.59,11318762.0,144410397.0
sh600297,广汇汽车,2016-02-19,12.91,13.0,12.67,12.78,13.09,7002755.0,89807699.0
sh600297,广汇汽车,2016-02-22,12.98,12.98,12.71,12.87,12.78,6431569.0,82592281.0
