交易日期,前收盘价,开盘价,成交量,成交额,收盘价,最低价,最高价,股票代码,股票名称
2017-12-08,13.24,15.89,10888,207157,19.07,15.89,19.07,sz300731,科创新源
2017-12-11,19.07,20.98,3435,72066,20.98,20.98,20.98,sz300731,科创新源
2017-12-12,20.98,23.08,2700,62316,23.08,23.08,23.08,sz300731,科创新源
2017-12-13,23.08,25.39,6947,176384,25.39,25.39,25.39,sz300731,科创新源
2017-12-14,25.39,27.93,34984,977103,27.93,27.93,27.93,sz300731,科创新源
2017-12-15,27.93,30.72,77681,2386360,30.72,30.72,30.72,sz300731,科创新源
2017-12-18,30.72,33.79,8699346,289684978,33.79,32.28,33.79,sz300731,科创新源
2017-12-19,33.79,33.0,4696861,166238965,37.17,32.94,37.17,sz300731,科创新源
2017-12-20,37.17,38.5,14181170,530237391,35.51,34.7,40.48,sz300731,科创新源
2017-12-21,35.51,34.07,13565686,491896274,38.19,33.22,38.98,sz300731,科创新源
2017-12-22,38.19,36.23,13165879,494136158,36.0,35.96,40.0,sz300731,科创新源
2017-12-25,36.0,34.4,9924272,358622431,36.67,34.4,37.5,sz300731,科创新源
2017-12-26,36.67,35.8,13337867,518790460,39.47,35.55,40.34,sz300731,科创新源
2017-12-27,39.47,39.1,13927668,566435245,43.42,38.9,43.42,sz300731,科创新源
2017-12-28,43.42,41.1,13084308,576708414,42.51,41.1,46.88,sz300731,科创新源
2017-12-29,42.51,40.93,10094061,397335105,38.26,38.26,41.63,sz300731,科创新源
