¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,Ç°ÊÕÅÌ¼Û,³É½»Á¿,³É½»¶î
sh600298,°²ç÷½ÍÄ¸,2016-01-04,30.11,30.2,27.66,27.74,30.42,3837980.0,112241449.0
sh600298,°²ç÷½ÍÄ¸,2016-01-05,26.7,29.74,26.7,29.19,27.74,7520928.0,215080570.0
sh600298,°²ç÷½ÍÄ¸,2016-01-06,29.14,30.36,29.0,30.3,29.19,5927494.0,175975623.0
sh600298,°²ç÷½ÍÄ¸,2016-01-07,29.79,30.2,29.01,29.47,30.3,2351075.0,70298903.0
sh600298,°²ç÷½ÍÄ¸,2016-01-08,30.18,32.25,29.4,31.71,29.47,12104430.0,375578686.0
sh600298,°²ç÷½ÍÄ¸,2016-01-12,31.68,33.14,29.3,32.25,31.61,14551930.0,458941841.0
sh600298,°²ç÷½ÍÄ¸,2016-01-13,32.01,32.25,29.05,29.09,32.25,11256201.0,347581461.0
sh600298,°²ç÷½ÍÄ¸,2016-01-14,27.0,28.77,26.3,28.19,29.09,9386828.0,257909027.0
sh600298,°²ç÷½ÍÄ¸,2016-01-15,28.0,29.19,27.01,27.76,28.19,6201582.0,174599996.0
sh600298,°²ç÷½ÍÄ¸,2016-01-18,26.89,28.3,26.51,27.5,27.76,5108205.0,141638766.0
sh600298,°²ç÷½ÍÄ¸,2016-01-19,27.5,28.96,27.2,28.72,27.5,4347482.0,122652045.0
sh600298,°²ç÷½ÍÄ¸,2016-01-20,29.77,31.43,29.51,29.99,28.72,8726361.0,266029844.0
sh600298,°²ç÷½ÍÄ¸,2016-01-21,29.44,31.5,29.21,30.12,29.99,10243478.0,313234766.0
sh600298,°²ç÷½ÍÄ¸,2016-01-22,30.7,30.95,28.9,30.3,30.12,7003186.0,210801582.0
sh600298,°²ç÷½ÍÄ¸,2016-01-25,30.6,31.77,30.39,31.63,30.3,7597846.0,237401565.0
sh600298,°²ç÷½ÍÄ¸,2016-01-26,31.2,32.97,30.05,30.6,31.63,11738272.0,371610247.0
sh600298,°²ç÷½ÍÄ¸,2016-01-27,30.68,31.48,28.81,31.38,30.6,9173383.0,274275026.0
sh600298,°²ç÷½ÍÄ¸,2016-01-28,30.26,31.01,28.8,29.01,31.38,5973969.0,179324034.0
