股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh600300,维维股份,2016-01-04,7.16,7.34,6.46,6.52,7.17,32349320.0,226369637.0
sh600300,维维股份,2016-01-05,6.05,6.78,6.02,6.7,6.52,39501376.0,257365745.0
sh600300,维维股份,2016-01-06,6.66,7.04,6.66,7.02,6.7,35344576.0,242153160.0
sh600300,维维股份,2016-01-07,6.87,6.89,6.32,6.32,7.02,12032001.0,78545683.0
sh600300,维维股份,2016-01-08,6.5,6.62,5.9,6.36,6.32,32903484.0,211078107.0
sh600300,维维股份,2016-01-11,6.1,6.27,5.72,5.73,6.36,39828869.0,239374200.0
sh600300,维维股份,2016-01-12,5.76,5.86,5.45,5.67,5.73,21806609.0,123421362.0
sh600300,维维股份,2016-01-13,5.76,5.86,5.51,5.54,5.67,15504911.0,88889120.0
sh600300,维维股份,2016-01-14,5.3,5.75,5.22,5.71,5.54,14223864.0,79075488.0
sh600300,维维股份,2016-01-15,5.66,5.74,5.23,5.36,5.71,17745652.0,97457306.0
sh600300,维维股份,2016-01-18,5.11,5.45,5.11,5.3,5.36,18059206.0,95689274.0
sh600300,维维股份,2016-01-19,5.3,5.6,5.22,5.54,5.3,18312356.0,99366712.0
sh600300,维维股份,2016-01-20,5.42,5.56,5.35,5.46,5.54,18521940.0,101044602.0
sh600300,维维股份,2016-01-21,5.35,5.5,5.11,5.13,5.46,15245950.0,80866728.0
sh600300,维维股份,2016-01-22,5.18,5.29,5.07,5.2,5.13,12900553.0,66822471.0
sh600300,维维股份,2016-01-25,5.25,5.36,5.23,5.27,5.2,9090030.0,48121843.0
sh600300,维维股份,2016-01-26,5.2,5.29,4.78,4.86,5.27,15625233.0,78734670.0
sh600300,维维股份,2016-01-27,4.89,4.95,4.46,4.78,4.86,19731300.0,93314503.0
sh600300,维维股份,2016-01-28,4.69,4.79,4.5,4.51,4.78,12358651.0,57509173.0
sh600300,维维股份,2016-01-29,4.56,4.77,4.5,4.71,4.51,12282471.0,57098116.0
sh600300,维维股份,2016-02-01,4.69,4.76,4.58,4.61,4.71,7835052.0,36514864.0
sh600300,维维股份,2016-02-02,4.6,4.81,4.6,4.77,4.61,11343245.0,53892735.0
sh600300,维维股份,2016-02-03,4.7,4.8,4.66,4.77,4.77,7831073.0,36964757.0
sh600300,维维股份,2016-02-04,4.82,4.91,4.78,4.87,4.77,11129509.0,54049855.0
sh600300,维维股份,2016-02-05,4.88,4.92,4.83,4.86,4.87,8153647.0,39755841.0
sh600300,维维股份,2016-02-15,4.55,4.85,4.55,4.76,4.86,7257317.0,34282379.0
sh600300,维维股份,2016-02-16,4.84,5.0,4.8,4.96,4.76,10548815.0,51863767.0
sh600300,维维股份,2016-02-17,4.96,5.07,4.91,5.06,4.96,12382071.0,62016451.0
sh600300,维维股份,2016-02-18,5.06,5.18,5.02,5.03,5.06,10822702.0,54920902.0
sh600300,维维股份,2016-02-19,5.01,5.06,4.98,5.04,5.03,7910985.0,39688428.0
sh600300,维维股份,2016-02-22,5.07,5.24,5.07,5.2,5.04,16642911.0,85954705.0
sh600300,维维股份,2016-02-23,5.2,5.23,5.07,5.18,5.2,10535229.0,54197093.0
sh600300,维维股份,2016-02-24,5.12,5.2,5.05,5.19,5.18,10041855.0,51658787.0
sh600300,维维股份,2016-02-25,5.16,5.17,4.67,4.67,5.19,18601954.0,90761664.0
sh600300,维维股份,2016-02-26,4.71,4.79,4.56,4.71,4.67,15243228.0,71694646.0
sh600300,维维股份,2016-02-29,4.71,4.74,4.31,4.45,4.71,15223890.0,67569446.0
sh600300,维维股份,2016-03-01,4.46,4.62,4.41,4.56,4.45,10987956.0,49586727.0
sh600300,维维股份,2016-03-02,4.58,4.95,4.56,4.86,4.56,17990700.0,85721096.0
sh600300,维维股份,2016-03-03,4.93,5.05,4.81,4.88,4.86,20020955.0,98617075.0
sh600300,维维股份,2016-03-04,4.82,4.9,4.58,4.69,4.88,20561665.0,97294345.0
sh600300,维维股份,2016-03-07,4.73,4.83,4.7,4.81,4.69,13166693.0,62873477.0
sh600300,维维股份,2016-03-08,4.78,4.8,4.61,4.78,4.81,13918538.0,65593915.0
sh600300,维维股份,2016-03-09,4.68,4.71,4.61,4.65,4.78,8227845.0,38414478.0
sh600300,维维股份,2016-03-10,4.67,4.72,4.58,4.6,4.65,9676156.0,44933805.0
sh600300,维维股份,2016-03-11,4.54,4.64,4.53,4.6,4.6,7122277.0,32596797.0
sh600300,维维股份,2016-03-14,4.64,4.79,4.64,4.74,4.6,12722676.0,60181184.0
sh600300,维维股份,2016-03-15,4.73,4.75,4.64,4.69,4.74,8584493.0,40281126.0
sh600300,维维股份,2016-03-16,4.7,4.73,4.63,4.64,4.69,10861429.0,50766043.0
sh600300,维维股份,2016-03-17,4.67,4.83,4.65,4.78,4.64,14732701.0,69897334.0
sh600300,维维股份,2016-03-18,4.81,4.99,4.78,4.97,4.78,22975087.0,113073838.0
sh600300,维维股份,2016-03-21,5.06,5.12,4.95,5.07,4.97,22334882.0,112732740.0
sh600300,维维股份,2016-03-22,5.04,5.21,4.99,5.13,5.07,23165374.0,118490237.0
sh600300,维维股份,2016-03-23,5.09,5.2,5.01,5.14,5.13,22698897.0,115701668.0
sh600300,维维股份,2016-03-24,5.09,5.13,5.02,5.04,5.14,13599579.0,68921007.0
sh600300,维维股份,2016-03-25,5.01,5.13,5.01,5.12,5.04,11061122.0,56354448.0
sh600300,维维股份,2016-03-28,5.12,5.47,5.09,5.27,5.12,28599450.0,151441978.0
sh600300,维维股份,2016-03-29,5.25,5.27,5.06,5.12,5.27,16188790.0,83321218.0
sh600300,维维股份,2016-03-30,5.14,5.33,5.14,5.28,5.12,13969622.0,73438618.0
sh600300,维维股份,2016-03-31,5.3,5.4,5.24,5.28,5.28,15962536.0,84574224.0
sh600300,维维股份,2016-04-01,5.28,5.52,5.13,5.44,5.28,22814357.0,121226318.0
sh600300,维维股份,2016-04-05,5.39,5.54,5.35,5.51,5.44,27749490.0,151758035.0
sh600300,维维股份,2016-04-06,5.49,5.52,5.4,5.48,5.51,17335833.0,94543558.0
sh600300,维维股份,2016-04-07,5.47,5.48,5.35,5.36,5.48,15217151.0,82229557.0
sh600300,维维股份,2016-04-08,5.31,5.33,5.18,5.26,5.36,16294585.0,85526955.0
sh600300,维维股份,2016-04-11,5.3,5.43,5.28,5.37,5.26,16431870.0,88488779.0
sh600300,维维股份,2016-04-12,5.33,5.5,5.25,5.49,5.37,34104406.0,183264826.0
sh600300,维维股份,2016-04-13,5.45,5.67,5.45,5.6,5.49,31613585.0,176949143.0
sh600300,维维股份,2016-04-14,5.6,5.74,5.59,5.67,5.6,20128661.0,114111078.0
sh600300,维维股份,2016-04-15,5.66,5.69,5.56,5.62,5.67,15216519.0,85374780.0
sh600300,维维股份,2016-04-18,5.56,5.78,5.49,5.73,5.62,20897741.0,117388191.0
sh600300,维维股份,2016-04-19,5.7,5.84,5.62,5.72,5.73,15190074.0,87035636.0
sh600300,维维股份,2016-04-20,5.71,5.78,5.21,5.36,5.72,27384996.0,151973535.0
sh600300,维维股份,2016-04-21,5.38,5.52,5.37,5.42,5.36,19628308.0,107174119.0
sh600300,维维股份,2016-04-22,5.4,5.45,5.31,5.36,5.42,12821232.0,69084442.0
sh600300,维维股份,2016-04-25,5.39,5.45,5.28,5.44,5.36,9253911.0,49815250.0
sh600300,维维股份,2016-04-26,5.43,5.72,5.38,5.62,5.44,22004349.0,123520917.0
sh600300,维维股份,2016-04-27,5.63,5.66,5.46,5.47,5.62,19610741.0,109158965.0
sh600300,维维股份,2016-04-28,5.5,5.51,5.28,5.32,5.47,23164838.0,124864878.0
sh600300,维维股份,2016-04-29,5.21,5.7,5.2,5.69,5.32,46177600.0,253903246.0
sh600300,维维股份,2016-05-03,5.62,5.99,5.58,5.85,5.69,45843523.0,267064213.0
sh600300,维维股份,2016-05-04,5.81,5.87,5.72,5.79,5.85,24393966.0,141440602.0
sh600300,维维股份,2016-05-05,5.75,5.82,5.69,5.8,5.79,15028671.0,86594082.0
sh600300,维维股份,2016-05-06,5.8,5.84,5.47,5.5,5.8,24505709.0,137937019.0
sh600300,维维股份,2016-05-09,5.4,5.58,5.32,5.4,5.5,19537922.0,106418150.0
sh600300,维维股份,2016-05-10,5.39,5.6,5.3,5.47,5.4,14896932.0,81406760.0
sh600300,维维股份,2016-05-12,5.58,5.58,5.35,5.42,5.71,32436885.0,177928317.0
sh600300,维维股份,2016-05-13,5.44,5.57,5.17,5.22,5.42,34004006.0,181928077.0
sh600300,维维股份,2016-05-16,5.28,5.74,5.25,5.74,5.22,35972045.0,200528644.0
sh600300,维维股份,2016-05-18,5.74,5.85,5.6,5.69,5.77,30629227.0,174743737.0
sh600300,维维股份,2016-05-19,5.77,5.91,5.72,5.78,5.69,28329503.0,164786551.0
sh600300,维维股份,2016-05-20,5.65,5.86,5.59,5.85,5.78,23057391.0,131964069.0
sh600300,维维股份,2016-05-23,5.84,5.92,5.78,5.88,5.85,22163926.0,129551047.0
sh600300,维维股份,2016-05-24,5.87,5.88,5.7,5.74,5.88,15409916.0,88764076.0
sh600300,维维股份,2016-05-25,5.79,5.87,5.66,5.85,5.74,17762751.0,102320725.0
sh600300,维维股份,2016-05-26,5.8,5.98,5.68,5.94,5.85,25744611.0,150123730.0
sh600300,维维股份,2016-05-27,5.89,6.26,5.86,6.03,5.94,40358347.0,245793051.0
sh600300,维维股份,2016-05-30,6.0,6.09,5.92,5.98,6.03,17797378.0,106951158.0
sh600300,维维股份,2016-05-31,5.92,6.24,5.92,6.19,5.98,27228271.0,166307496.0
sh600300,维维股份,2016-06-01,6.17,6.33,6.13,6.14,6.19,24642876.0,152938625.0
sh600300,维维股份,2016-06-02,6.14,6.24,6.05,6.16,6.14,19138720.0,117240288.0
sh600300,维维股份,2016-06-03,6.08,6.28,6.06,6.17,6.16,28155702.0,174283807.0
sh600300,维维股份,2016-06-06,6.12,6.16,6.03,6.12,6.17,17208736.0,104939156.0
sh600300,维维股份,2016-06-07,6.12,6.19,6.08,6.12,6.12,13909971.0,85283779.0
sh600300,维维股份,2016-06-08,6.12,6.17,5.97,6.0,6.12,17760656.0,107301704.0
sh600300,维维股份,2016-06-13,5.98,5.98,5.72,5.73,6.0,17191236.0,100784565.0
sh600300,维维股份,2016-06-14,5.74,5.83,5.72,5.79,5.73,8680086.0,50124714.0
sh600300,维维股份,2016-06-15,5.74,5.96,5.7,5.92,5.79,15536006.0,91249582.0
sh600300,维维股份,2016-06-16,5.89,5.98,5.8,5.91,5.92,17004597.0,99903064.0
sh600300,维维股份,2016-06-17,5.89,5.97,5.84,5.87,5.91,11526019.0,68043907.0
sh600300,维维股份,2016-06-20,5.86,5.87,5.74,5.8,5.87,8841473.0,51199906.0
sh600300,维维股份,2016-06-21,5.8,5.89,5.76,5.77,5.8,9717095.0,56486880.0
sh600300,维维股份,2016-06-22,5.75,6.0,5.74,5.99,5.77,17607820.0,104256436.0
sh600300,维维股份,2016-06-23,5.94,6.11,5.89,5.94,5.99,13641359.0,81985873.0
sh600300,维维股份,2016-06-24,5.94,6.02,5.67,5.91,5.94,13115022.0,77147722.0
sh600300,维维股份,2016-06-27,5.89,6.0,5.82,6.0,5.91,9344443.0,55637237.0
sh600300,维维股份,2016-06-28,5.96,6.0,5.88,5.95,6.0,13004816.0,77053425.0
sh600300,维维股份,2016-06-29,5.96,6.06,5.88,5.98,5.95,14998876.0,89533979.0
sh600300,维维股份,2016-06-30,5.98,6.08,5.93,5.94,5.98,13142423.0,78850648.0
sh600300,维维股份,2016-07-01,5.94,5.99,5.88,5.89,5.94,9635658.0,57046919.0
sh600300,维维股份,2016-07-04,5.85,5.95,5.82,5.93,5.89,11385313.0,67231700.0
sh600300,维维股份,2016-07-05,5.93,6.02,5.9,5.99,5.93,13015538.0,77811163.0
sh600300,维维股份,2016-07-06,5.99,6.2,5.89,6.17,5.99,36270569.0,220388106.0
sh600300,维维股份,2016-07-07,6.1,6.25,6.02,6.19,6.17,31141969.0,191600855.0
sh600300,维维股份,2016-07-08,6.14,6.18,6.08,6.08,6.19,12881736.0,78841783.0
sh600300,维维股份,2016-07-11,6.08,6.35,6.04,6.2,6.08,31820098.0,197823858.0
sh600300,维维股份,2016-07-12,6.18,6.39,6.16,6.28,6.2,30936492.0,194221916.0
sh600300,维维股份,2016-07-13,6.29,6.33,6.19,6.25,6.28,16930069.0,105548160.0
sh600300,维维股份,2016-07-14,6.22,6.31,6.21,6.24,6.25,10089684.0,63036796.0
sh600300,维维股份,2016-07-15,6.22,6.24,6.15,6.15,6.24,12318887.0,76186384.0
sh600300,维维股份,2016-07-18,6.15,6.18,6.03,6.06,6.15,12944724.0,78782231.0
sh600300,维维股份,2016-07-19,6.08,6.1,5.96,6.09,6.06,11985738.0,72306360.0
sh600300,维维股份,2016-07-20,6.08,6.1,6.03,6.05,6.09,6520986.0,39542810.0
sh600300,维维股份,2016-07-21,6.08,6.11,6.04,6.05,6.05,8627465.0,52425692.0
sh600300,维维股份,2016-07-22,6.05,6.08,6.0,6.01,6.05,7740526.0,46667619.0
sh600300,维维股份,2016-07-25,5.97,6.04,5.93,6.02,6.01,5751717.0,34571272.0
sh600300,维维股份,2016-07-26,6.03,6.07,5.99,6.06,6.02,11611726.0,70164092.0
sh600300,维维股份,2016-07-27,6.06,6.06,5.6,5.73,6.06,26657711.0,155636698.0
sh600300,维维股份,2016-07-28,5.7,5.73,5.46,5.59,5.73,23842754.0,132819237.0
sh600300,维维股份,2016-07-29,5.59,5.66,5.56,5.59,5.59,7320239.0,40970436.0
sh600300,维维股份,2016-08-01,5.58,5.58,5.38,5.47,5.59,10277924.0,56020567.0
sh600300,维维股份,2016-08-02,5.44,5.51,5.41,5.5,5.47,7199174.0,39382579.0
sh600300,维维股份,2016-08-03,5.51,5.52,5.45,5.5,5.5,7168706.0,39335222.0
sh600300,维维股份,2016-08-04,5.5,5.5,5.37,5.48,5.5,12386122.0,67236207.0
sh600300,维维股份,2016-08-05,5.47,5.53,5.44,5.49,5.48,7149646.0,39267595.0
sh600300,维维股份,2016-08-08,5.49,5.73,5.49,5.7,5.49,14745287.0,83217504.0
sh600300,维维股份,2016-08-09,5.66,5.7,5.63,5.66,5.7,6759755.0,38317080.0
sh600300,维维股份,2016-08-10,5.66,5.68,5.61,5.64,5.66,6114108.0,34498380.0
sh600300,维维股份,2016-08-11,5.66,5.66,5.54,5.55,5.64,6854287.0,38286451.0
sh600300,维维股份,2016-08-12,5.52,5.59,5.5,5.59,5.55,5210433.0,28912651.0
sh600300,维维股份,2016-08-15,5.57,5.74,5.55,5.68,5.59,13160460.0,74358369.0
sh600300,维维股份,2016-08-16,5.7,5.74,5.64,5.69,5.68,9712394.0,55261927.0
sh600300,维维股份,2016-08-17,5.68,5.72,5.65,5.68,5.69,6146284.0,34897000.0
sh600300,维维股份,2016-08-18,5.69,5.73,5.66,5.69,5.68,11044260.0,62882195.0
sh600300,维维股份,2016-08-19,5.71,5.72,5.63,5.69,5.69,6625808.0,37635508.0
sh600300,维维股份,2016-08-22,5.71,5.85,5.67,5.71,5.69,14397324.0,82910227.0
sh600300,维维股份,2016-08-23,5.7,5.74,5.68,5.72,5.71,7309750.0,41712680.0
sh600300,维维股份,2016-08-24,5.71,5.73,5.65,5.71,5.72,6137417.0,34990418.0
sh600300,维维股份,2016-08-25,5.65,5.77,5.62,5.75,5.71,11473601.0,65228778.0
sh600300,维维股份,2016-08-26,5.75,5.84,5.7,5.71,5.75,10408695.0,60092320.0
sh600300,维维股份,2016-08-29,5.74,5.81,5.71,5.8,5.71,10582106.0,61115638.0
sh600300,维维股份,2016-08-30,5.8,5.83,5.78,5.78,5.8,7234173.0,41995465.0
sh600300,维维股份,2016-08-31,5.76,5.82,5.71,5.77,5.78,5296572.0,30446963.0
sh600300,维维股份,2016-09-01,5.76,5.82,5.74,5.78,5.77,7440017.0,43077894.0
sh600300,维维股份,2016-09-02,5.76,5.85,5.74,5.84,5.78,6735918.0,38921230.0
sh600300,维维股份,2016-09-05,5.98,6.28,5.93,6.08,5.84,37984566.0,231892422.0
sh600300,维维股份,2016-09-06,6.03,6.08,5.91,6.07,6.08,18694042.0,112181057.0
sh600300,维维股份,2016-09-07,6.02,6.12,5.97,5.99,6.07,11601784.0,70149444.0
sh600300,维维股份,2016-09-08,6.01,6.04,5.93,5.99,5.99,6907849.0,41273254.0
sh600300,维维股份,2016-09-09,5.98,6.1,5.94,6.0,5.99,10354341.0,62523154.0
sh600300,维维股份,2016-09-12,5.95,5.95,5.76,5.78,6.0,10368006.0,60610922.0
sh600300,维维股份,2016-09-13,5.78,5.85,5.74,5.79,5.78,5369225.0,31043410.0
sh600300,维维股份,2016-09-14,5.76,5.76,5.67,5.73,5.79,6067756.0,34669035.0
sh600300,维维股份,2016-09-19,5.72,5.88,5.72,5.85,5.73,6474757.0,37645807.0
sh600300,维维股份,2016-09-20,5.84,5.9,5.81,5.82,5.85,4889057.0,28588544.0
sh600300,维维股份,2016-09-21,5.82,5.94,5.8,5.88,5.82,7134492.0,41962620.0
sh600300,维维股份,2016-09-22,5.93,5.99,5.91,5.93,5.88,6524738.0,38878554.0
sh600300,维维股份,2016-09-23,5.93,6.03,5.92,5.98,5.93,9179644.0,54861580.0
sh600300,维维股份,2016-09-26,5.99,5.99,5.77,5.81,5.98,9695215.0,57091557.0
sh600300,维维股份,2016-09-27,5.78,5.84,5.75,5.84,5.81,4485148.0,25990613.0
sh600300,维维股份,2016-09-28,5.88,5.95,5.83,5.85,5.84,7718712.0,45442986.0
sh600300,维维股份,2016-09-29,5.85,5.9,5.83,5.84,5.85,4862800.0,28503793.0
sh600300,维维股份,2016-09-30,5.87,5.91,5.81,5.83,5.84,5591300.0,32806190.0
sh600300,维维股份,2016-10-10,5.86,6.02,5.84,5.97,5.83,12571812.0,74735599.0
sh600300,维维股份,2016-10-11,5.96,6.06,5.94,6.03,5.97,13787339.0,82822650.0
sh600300,维维股份,2016-10-12,6.0,6.14,5.99,6.11,6.03,16932863.0,103005964.0
sh600300,维维股份,2016-10-13,6.11,6.14,6.04,6.12,6.11,10224853.0,62182399.0
sh600300,维维股份,2016-10-14,6.09,6.15,6.05,6.09,6.12,8335598.0,50808190.0
sh600300,维维股份,2016-10-17,6.15,6.15,6.05,6.08,6.09,11925367.0,72683452.0
sh600300,维维股份,2016-10-18,6.08,6.13,6.05,6.12,6.08,9124673.0,55610236.0
sh600300,维维股份,2016-10-19,6.12,6.16,6.08,6.16,6.12,12564058.0,76898682.0
sh600300,维维股份,2016-10-20,6.16,6.43,6.13,6.34,6.16,38514409.0,243280691.0
sh600300,维维股份,2016-10-21,6.34,6.39,6.13,6.26,6.34,15304416.0,95590754.0
sh600300,维维股份,2016-10-24,6.26,6.31,6.22,6.29,6.26,11505730.0,72141749.0
sh600300,维维股份,2016-10-25,6.28,6.33,6.2,6.21,6.29,9448436.0,59094185.0
sh600300,维维股份,2016-10-26,6.21,6.65,6.21,6.49,6.21,42019941.0,271706706.0
sh600300,维维股份,2016-10-27,6.48,6.78,6.37,6.6,6.49,30965929.0,204467743.0
sh600300,维维股份,2016-10-28,6.59,6.74,6.52,6.63,6.6,22423706.0,148989236.0
sh600300,维维股份,2016-10-31,6.65,6.87,6.52,6.84,6.63,26367326.0,177051219.0
sh600300,维维股份,2016-11-03,7.01,7.29,6.96,7.1,7.03,29537437.0,210715172.0
sh600300,维维股份,2016-11-04,7.05,7.09,6.85,6.96,7.1,38664439.0,268286389.0
sh600300,维维股份,2016-11-07,6.89,7.02,6.81,6.97,6.96,16220145.0,112685438.0
sh600300,维维股份,2016-11-08,6.93,7.06,6.93,6.97,6.97,16416567.0,114727913.0
sh600300,维维股份,2016-11-09,6.97,7.02,6.83,6.98,6.97,19773103.0,137153310.0
sh600300,维维股份,2016-11-11,7.23,7.34,7.08,7.15,7.3,29581643.0,212371352.0
sh600300,维维股份,2016-11-14,7.07,7.19,6.9,6.99,7.15,30370714.0,212942516.0
sh600300,维维股份,2016-11-15,6.9,7.19,6.86,7.13,6.99,24389128.0,172332466.0
sh600300,维维股份,2016-11-16,7.08,7.17,7.05,7.07,7.13,10681391.0,75876293.0
sh600300,维维股份,2016-11-17,7.15,7.19,7.04,7.08,7.07,13674137.0,97221178.0
sh600300,维维股份,2016-11-18,7.08,7.18,6.99,7.01,7.08,17345162.0,122812497.0
sh600300,维维股份,2016-11-21,7.02,7.14,7.02,7.06,7.01,10574561.0,74888498.0
sh600300,维维股份,2016-11-22,7.06,7.25,7.06,7.17,7.06,19661485.0,140924390.0
sh600300,维维股份,2016-11-23,7.2,7.28,7.08,7.16,7.17,19254898.0,138201728.0
sh600300,维维股份,2016-11-24,7.22,7.23,7.15,7.22,7.16,17564054.0,126294361.0
sh600300,维维股份,2016-11-30,7.47,7.57,7.37,7.42,7.52,27493520.0,204898388.0
sh600300,维维股份,2016-12-01,7.48,7.49,7.31,7.4,7.42,17202228.0,127056989.0
sh600300,维维股份,2016-12-02,7.39,7.44,7.08,7.26,7.4,27064482.0,196299646.0
sh600300,维维股份,2016-12-05,7.16,7.42,7.12,7.28,7.26,15814417.0,115348369.0
