交易日期,前收盘价,开盘价,成交量,成交额,收盘价,最低价,最高价,股票代码,股票名称
2017-12-13,59.64,65.6,5400,354240,65.6,65.6,65.6,sz300732,设研院
2017-12-14,65.6,72.16,7800,562848,72.16,72.16,72.16,sz300732,设研院
2017-12-15,72.16,79.38,41125,3264502,79.38,79.38,79.38,sz300732,设研院
2017-12-18,79.38,87.2,8971719,746716783,82.08,81.2,87.2,sz300732,设研院
2017-12-19,82.08,80.04,5771599,474660080,82.42,79.41,83.66,sz300732,设研院
2017-12-20,82.42,82.45,7513898,650713685,86.12,81.58,90.25,sz300732,设研院
2017-12-21,86.12,84.2,5614838,464789591,83.16,80.0,84.95,sz300732,设研院
2017-12-22,83.16,81.92,5279171,442302571,81.08,81.01,87.0,sz300732,设研院
2017-12-25,81.08,78.71,5086448,388015312,76.16,74.38,78.71,sz300732,设研院
2017-12-26,76.16,75.14,4780557,374863212,78.67,75.14,80.88,sz300732,设研院
2017-12-27,78.67,78.46,8126827,678858618,85.31,77.68,86.54,sz300732,设研院
2017-12-28,85.31,82.5,7796890,671805619,88.15,82.5,89.98,sz300732,设研院
2017-12-29,88.15,86.0,5411692,451084641,80.85,80.33,86.88,sz300732,设研院
